id,player_id,game_id,team,goals,name
1,1,1,Branquelas,6,"Player: Pedro Pacheco in Game: 1ª Edição MasterLeague, jornada 1"
2,9,1,Branquelas,3,
3,7,1,Branquelas,2,
4,8,1,Branquelas,0,
5,4,1,Maregões,0,
6,3,1,Maregões,1,
7,10,1,Maregões,3,
8,12,1,Maregões,6,
9,1,2,Branquelas,1,
10,3,2,Branquelas,0,
11,6,2,Branquelas,1,
12,4,2,Maregões,0,
13,5,2,Maregões,1,
14,7,2,Maregões,2,
15,8,2,Maregões,0,
16,9,2,Maregões,3,
17,12,2,Maregões,4,
18,1,3,Branquelas,1,
19,12,3,Branquelas,1,
20,10,3,Branquelas,0,
21,3,3,Branquelas,0,
22,6,3,Branquelas,2,
23,7,3,Branquelas,1,
24,9,3,Maregões,1,
25,8,3,Maregões,2,
26,4,3,Maregões,0,
27,5,3,Maregões,1,
28,1,4,Branquelas,3,
29,4,4,Branquelas,0,
30,12,4,Branquelas,2,
31,9,4,Branquelas,2,
32,10,4,Maregões,2,
33,3,4,Maregões,1,
34,5,4,Maregões,5,
35,6,4,Maregões,1,
36,2,1,Maregões,0,
37,2,2,Branquelas,1,
38,2,3,Maregões,1,
39,2,4,Maregões,0,
40,8,5,Branquelas,4,
41,3,5,Branquelas,0,
42,6,5,Branquelas,0,
43,7,5,Branquelas,3,
44,4,5,Branquelas,1,
45,1,5,Maregões,2,
46,9,5,Maregões,1,
47,10,5,Maregões,1,
48,5,5,Maregões,3,
49,12,5,Maregões,3,
50,3,6,Branquelas,3,
51,6,6,Branquelas,0,
52,12,6,Branquelas,2,
53,1,6,Branquelas,1,
54,2,6,Maregões,3,
55,4,6,Maregões,0,
56,9,6,Maregões,1,
57,5,6,Maregões,2,
58,10,6,Maregões,2,
59,4,7,Branquelas,0,
60,6,7,Branquelas,0,
61,12,7,Branquelas,1,
62,9,7,Branquelas,1,
63,5,7,Maregões,2,
64,2,7,Maregões,3,
65,10,7,Maregões,0,
66,3,7,Maregões,2,
67,3,8,Branquelas,1,
68,6,8,Branquelas,0,
69,12,8,Branquelas,3,
70,5,8,Branquelas,0,
71,2,8,Branquelas,2,
72,1,8,Maregões,3,
73,10,8,Maregões,0,
74,4,8,Maregões,0,
75,9,9,Branquelas,2,
76,1,9,Branquelas,3,
77,7,9,Branquelas,1,
78,6,9,Branquelas,0,
79,4,9,Branquelas,2,
80,12,9,Branquelas,2,
81,2,9,Maregões,1,
82,10,9,Maregões,2,
83,5,9,Maregões,1,
84,3,9,Maregões,1,
85,8,9,Maregões,2,
86,7,10,Branquelas,1,
87,1,10,Branquelas,4,
88,8,10,Branquelas,2,
89,12,10,Branquelas,2,
90,2,10,Maregões,2,
91,3,10,Maregões,0,
92,4,10,Maregões,1,
93,5,10,Maregões,1,
94,9,10,Maregões,2,
95,10,10,Maregões,2,
96,7,11,Branquelas,1,
97,4,11,Branquelas,0,
98,5,11,Branquelas,1,
99,10,11,Branquelas,1,
100,9,11,Branquelas,2,
101,8,11,Branquelas,5,
102,3,11,Maregões,0,
103,1,11,Maregões,2,
104,12,11,Maregões,2,
105,2,11,Maregões,3,
106,6,11,Maregões,0,
107,7,12,Branquelas,2,
108,8,12,Branquelas,3,
109,10,12,Branquelas,2,
110,2,12,Branquelas,1,
111,1,12,Maregões,1,
112,9,12,Maregões,2,
113,5,12,Maregões,1,
114,4,12,Maregões,2,
115,6,12,Maregões,0,
116,12,12,Maregões,2,
117,1,13,Branquelas,7,
118,2,13,Branquelas,0,
119,4,13,Branquelas,2,
120,8,13,Branquelas,3,
121,3,13,Maregões,2,
122,10,13,Maregões,1,
123,5,13,Maregões,2,
124,12,13,Maregões,9,
125,7,13,Maregões,0,
126,23,14,Branquelas,1,
127,15,14,Branquelas,0,
128,14,14,Branquelas,1,
129,22,14,Branquelas,3,
130,21,14,Branquelas,2,
131,13,14,Branquelas,3,
132,1,14,Maregões,3,
133,19,14,Maregões,0,
134,16,14,Maregões,2,
135,20,14,Maregões,0,
136,17,14,Maregões,4,
137,13,15,Branquelas,0,
138,19,15,Branquelas,5,
139,1,15,Branquelas,1,
140,15,15,Branquelas,0,
141,22,15,Branquelas,5,
142,18,15,Branquelas,0,
143,16,15,Maregões,3,
144,23,15,Maregões,1,
145,14,15,Maregões,0,
146,17,15,Maregões,1,
147,20,15,Maregões,0,
148,15,16,Branquelas,1,
149,1,16,Branquelas,2,
150,20,16,Branquelas,0,
151,16,16,Branquelas,2,
152,14,16,Branquelas,1,
153,18,16,Branquelas,1,
154,23,16,Maregões,1,
155,19,16,Maregões,1,
156,17,16,Maregões,0,
157,13,16,Maregões,4,
158,21,16,Maregões,3,
159,17,17,Branquelas,0,
160,15,17,Branquelas,0,
161,19,17,Branquelas,2,
162,18,17,Branquelas,3,
163,1,17,Maregões,2,
164,16,17,Maregões,2,
165,21,17,Maregões,2,
166,1,18,Branquelas,3,
167,19,18,Branquelas,2,
168,14,18,Branquelas,2,
169,20,18,Branquelas,5,
170,16,18,Maregões,2,
171,23,18,Maregões,2,
172,21,18,Maregões,3,
173,17,18,Maregões,0,
174,16,19,Branquelas,1,
175,23,19,Branquelas,0,
176,17,19,Branquelas,0,
177,18,19,Branquelas,1,
178,14,19,Branquelas,2,
179,20,19,Maregões,2,
180,22,19,Maregões,1,
181,21,19,Maregões,3,
182,19,19,Maregões,3,
183,1,19,Maregões,4,
184,1,20,Branquelas,3,
185,21,20,Branquelas,5,
186,20,20,Branquelas,3,
187,14,20,Branquelas,0,
188,19,20,Maregões,1,
189,16,20,Maregões,4,
190,23,20,Maregões,2,
191,17,20,Maregões,1,
192,23,21,Branquelas,2,
193,18,21,Branquelas,0,
194,21,21,Maregões,6,
195,19,21,Maregões,4,
196,22,21,Maregões,1,
197,17,21,Maregões,2,
198,21,22,Branquelas,3,
199,22,22,Branquelas,2,
200,14,22,Branquelas,1,
201,17,22,Branquelas,4,
202,1,22,Maregões,3,
203,20,22,Maregões,1,
204,15,22,Maregões,0,
205,23,22,Maregões,0,
206,21,23,Branquelas,2,
207,22,23,Branquelas,1,
208,17,23,Branquelas,0,
209,20,23,Branquelas,2,
210,1,23,Maregões,3,
211,14,23,Maregões,1,
212,23,23,Maregões,1,
213,15,23,Maregões,0,
214,21,24,Branquelas,1,
215,17,24,Branquelas,2,
216,20,24,Branquelas,5,
217,1,24,Maregões,1,
218,19,24,Maregões,4,
219,14,24,Maregões,1,
220,23,24,Maregões,4,
221,23,25,Branquelas,1,
222,17,25,Branquelas,5,
223,14,25,Branquelas,1,
224,21,25,Branquelas,6,
225,1,25,Maregões,6,
226,19,25,Maregões,5,
227,22,25,Maregões,1,
228,16,25,Maregões,5,
229,20,25,Maregões,0,
230,1,26,Branquelas,1,
231,17,26,Branquelas,3,
232,21,26,Branquelas,0,
233,28,26,Branquelas,0,
234,27,26,Maregões,0,
235,32,26,Maregões,1,
236,33,26,Maregões,3,
237,25,26,Maregões,1,
238,22,26,Maregões,2,
239,3,27,Branquelas,2,
240,30,27,Branquelas,1,
241,1,27,Branquelas,2,
242,6,27,Branquelas,0,
243,9,27,Branquelas,3,
244,8,27,Maregões,3,
245,29,27,Maregões,1,
246,10,27,Maregões,1,
247,5,27,Maregões,2,
248,3,28,Branquelas,2,
249,9,28,Branquelas,2,
250,11,28,Branquelas,1,
251,1,28,Maregões,1,
252,5,28,Maregões,0,
253,12,28,Maregões,2,
254,6,28,Maregões,0,
255,1,29,Branquelas,1,
256,31,29,Branquelas,0,
257,11,29,Maregões,0,
258,29,29,Maregões,4,
259,12,29,Maregões,6,
260,30,29,Maregões,4,
261,1,30,Branquelas,1,
262,33,30,Branquelas,1,
263,25,30,Branquelas,1,
264,28,30,Branquelas,0,
265,17,30,Branquelas,1,
266,16,30,Maregões,5,
267,22,30,Maregões,2,
268,27,30,Maregões,2,
269,4,30,Maregões,2,
270,12,31,Branquelas,4,
271,3,31,Branquelas,0,
272,31,31,Branquelas,3,
273,1,31,Maregões,1,
274,9,31,Maregões,1,
275,29,31,Maregões,1,
276,30,31,Maregões,0,
277,10,31,Maregões,0,
278,20,32,Branquelas,3,
279,27,32,Branquelas,4,
280,22,32,Branquelas,1,
281,25,32,Branquelas,3,
282,28,32,Maregões,2,
283,11,33,Branquelas,1,
284,31,33,Branquelas,4,
285,12,33,Branquelas,2,
286,5,33,Branquelas,2,
287,6,33,Branquelas,2,
288,29,33,Branquelas,0,
289,9,33,Maregões,5,
290,30,33,Maregões,4,
291,3,33,Maregões,3,
292,8,33,Maregões,4,
293,10,33,Maregões,2,
294,28,34,Branquelas,1,
295,27,34,Branquelas,1,
296,20,34,Branquelas,3,
297,1,34,Maregões,6,
298,17,34,Maregões,2,
299,22,34,Maregões,3,
300,16,34,Maregões,12,
301,6,35,Branquelas,1,
302,8,35,Branquelas,1,
303,31,35,Branquelas,8,
304,1,35,Maregões,0,
305,3,35,Maregões,1,
306,30,35,Maregões,3,
307,5,35,Maregões,1,
308,9,35,Maregões,4,
309,28,36,Branquelas,0,
310,21,36,Branquelas,0,
311,17,36,Branquelas,2,
312,22,36,Branquelas,4,
313,25,36,Branquelas,2,
314,33,36,Maregões,1,
315,32,36,Maregões,4,
316,1,37,Branquelas,4,
317,3,37,Branquelas,1,
318,30,37,Branquelas,2,
319,31,37,Branquelas,2,
320,10,37,Branquelas,2,
321,5,37,Maregões,5,
322,29,37,Maregões,1,
323,11,37,Maregões,0,
324,8,37,Maregões,2,
325,27,36,Maregões,0,
326,21,32,Maregões,0,
327,21,34,Branquelas,0,
328,25,34,Maregões,0,
329,1,38,Branquelas,3,
330,17,38,Branquelas,2,
331,22,38,Branquelas,2,
332,28,38,Branquelas,0,
333,33,38,Maregões,4,
334,16,38,Maregões,8,
335,25,38,Maregões,3,
336,27,38,Maregões,2,
337,32,38,Maregões,5,
338,5,39,Branquelas,4,
339,29,39,Branquelas,5,
340,30,39,Branquelas,0,
341,10,39,Branquelas,1,
342,1,39,Maregões,2,
343,12,39,Maregões,5,
344,6,39,Maregões,1,
345,31,39,Maregões,4,
346,1,40,Branquelas,2,
347,16,40,Branquelas,4,
348,32,40,Branquelas,5,
349,22,40,Branquelas,3,
350,21,40,Maregões,0,
351,27,40,Maregões,0,
352,17,40,Maregões,1,
353,28,40,Maregões,1,
354,1,41,Branquelas,2,
355,12,41,Branquelas,1,
356,31,41,Branquelas,2,
357,9,41,Maregões,3,
358,30,41,Maregões,4,
359,8,41,Maregões,0,
360,3,41,Maregões,1,
361,1,42,Branquelas,1,
362,28,42,Branquelas,0,
363,17,42,Branquelas,1,
364,16,42,Branquelas,2,
365,32,42,Maregões,5,
366,20,42,Maregões,3,
367,25,42,Maregões,1,
368,1,43,Branquelas,3,
369,6,43,Branquelas,1,
370,30,43,Branquelas,4,
371,3,43,Maregões,2,
372,11,43,Maregões,1,
373,5,43,Maregões,3,
374,29,43,Maregões,2,
375,9,43,Maregões,3,
376,1,44,Branquelas,2,
377,31,44,Branquelas,4,
378,10,44,Branquelas,3,
379,29,44,Branquelas,2,
380,8,44,Branquelas,2,
381,11,44,Branquelas,0,
382,5,44,Maregões,3,
383,6,44,Maregões,0,
384,9,44,Maregões,1,
385,12,44,Maregões,3,
386,30,44,Maregões,4,
387,3,44,Maregões,1,
388,1,45,Branquelas,2,
389,22,45,Branquelas,1,
390,17,45,Branquelas,1,
391,28,45,Maregões,0,
392,21,45,Maregões,2,
393,25,45,Maregões,3,
394,32,45,Maregões,6,
395,1,46,Branquelas,1,
396,29,46,Branquelas,0,
397,9,46,Branquelas,3,
